"cost" "thr" "target.size" "theta" "h2" "Ne" "rho" "b" "gamma" "env.sd" "norm.prev"
"57" 0.5 13257.8160693599 1e+05 0.02 0.55 5000 0.0662890803467997 0.867421839306401 2.64514169947986 66.251185373574 6.54640181707578e-05
"58" 0.5 24136.7053461806 1e+05 0.02 0.55 5000 0.120683526730903 0.758632946538194 1.98597323304952 57.0702613321279 4.28433057929611e-05
"59" 0.5 43942.4217322447 1e+05 0.02 0.55 5000 0.219712108661223 0.560575782677553 1.26734485064893 51.516386032455 2.49136849742593e-05
"60" 0.5 79999.9999999999 1e+05 0.02 0.55 5000 0.4 0.200000000000001 0.405465108108166 46.8594244872585 7.10746069898516e-06
"61" 0.5 4000 1e+05 0.02 0.61 5000 0.02 0.96 3.89182029811063 28.9830200739798 4.86912159094466e-05
"62" 0.5 7282.25681210432 1e+05 0.02 0.61 5000 0.0364112840605216 0.927177431878957 3.27578583209134 27.3931435768486 4.02997618771384e-05
"63" 0.5 13257.8160693599 1e+05 0.02 0.61 5000 0.0662890803467997 0.867421839306401 2.64514169947986 26.1271928563571 3.24288288392482e-05
"64" 0.5 24136.7053461806 1e+05 0.02 0.61 5000 0.120683526730903 0.758632946538194 1.98597323304952 25.0016726393647 2.4435808841039e-05
"65" 0.5 43942.4217322447 1e+05 0.02 0.61 5000 0.219712108661223 0.560575782677553 1.26734485064893 23.7822065970063 1.55722170969153e-05
"66" 0.5 79999.9999999999 1e+05 0.02 0.61 5000 0.4 0.200000000000001 0.405465108108166 22.0431075982402 4.74661495453166e-06
"67" 0.5 4000 1e+05 0.02 0.67 5000 0.02 0.96 3.89182029811063 13.5081127496724 3.3988724980949e-05
"68" 0.5 7282.25681210432 1e+05 0.02 0.67 5000 0.0364112840605216 0.927177431878957 3.27578583209134 12.2668986034294 2.92218540052236e-05
"69" 0.5 13257.8160693599 1e+05 0.02 0.67 5000 0.0662890803467997 0.867421839306401 2.64514169947986 10.7582558820294 2.4247150422374e-05
"70" 0.5 24136.7053461806 1e+05 0.02 0.67 5000 0.120683526730903 0.758632946538194 1.98597323304952 8.69250022987833 1.87400621466383e-05
"71" 0.5 43942.4217322447 1e+05 0.02 0.67 5000 0.219712108661223 0.560575782677553 1.26734485064893 5.23069649995963 1.22016289625382e-05
"72" 0.5 79999.9999999999 1e+05 0.02 0.67 5000 0.4 0.200000000000001 0.405465108108166 0 3.84938876685226e-06
"73" 0.5 4000 1e+05 0.02 0.73 5000 0.02 0.96 3.89182029811063 220.999770268707 0.000334065983157328
"74" 0.5 7282.25681210432 1e+05 0.02 0.73 5000 0.0364112840605216 0.927177431878957 3.27578583209134 86.7223680039436 0.000105590641856446
"75" 0.5 13257.8160693599 1e+05 0.02 0.73 5000 0.0662890803467997 0.867421839306401 2.64514169947986 66.251185373574 6.54640181707578e-05
"76" 0.5 24136.7053461806 1e+05 0.02 0.73 5000 0.120683526730903 0.758632946538194 1.98597323304952 57.0702613321279 4.28433057929611e-05
"77" 0.5 43942.4217322447 1e+05 0.02 0.73 5000 0.219712108661223 0.560575782677553 1.26734485064893 51.516386032455 2.49136849742593e-05
"78" 0.5 79999.9999999999 1e+05 0.02 0.73 5000 0.4 0.200000000000001 0.405465108108166 46.8594244872585 7.10746069898516e-06
"79" 0.5 4000 1e+05 0.02 0.79 5000 0.02 0.96 3.89182029811063 28.9830200739798 4.86912159094466e-05
"80" 0.5 7282.25681210432 1e+05 0.02 0.79 5000 0.0364112840605216 0.927177431878957 3.27578583209134 27.3931435768486 4.02997618771384e-05
"81" 0.5 13257.8160693599 1e+05 0.02 0.79 5000 0.0662890803467997 0.867421839306401 2.64514169947986 26.1271928563571 3.24288288392482e-05
"82" 0.5 24136.7053461806 1e+05 0.02 0.79 5000 0.120683526730903 0.758632946538194 1.98597323304952 25.0016726393647 2.4435808841039e-05
"83" 0.5 43942.4217322447 1e+05 0.02 0.79 5000 0.219712108661223 0.560575782677553 1.26734485064893 23.7822065970063 1.55722170969153e-05
"84" 0.5 79999.9999999999 1e+05 0.02 0.79 5000 0.4 0.200000000000001 0.405465108108166 22.0431075982402 4.74661495453166e-06
"85" 0.5 4000 1e+05 0.02 0.85 5000 0.02 0.96 3.89182029811063 13.5081127496724 3.3988724980949e-05
"86" 0.5 7282.25681210432 1e+05 0.02 0.85 5000 0.0364112840605216 0.927177431878957 3.27578583209134 12.2668986034294 2.92218540052236e-05
"87" 0.5 13257.8160693599 1e+05 0.02 0.85 5000 0.0662890803467997 0.867421839306401 2.64514169947986 10.7582558820294 2.4247150422374e-05
"88" 0.5 24136.7053461806 1e+05 0.02 0.85 5000 0.120683526730903 0.758632946538194 1.98597323304952 8.69250022987833 1.87400621466383e-05
"89" 0.5 43942.4217322447 1e+05 0.02 0.85 5000 0.219712108661223 0.560575782677553 1.26734485064893 5.23069649995963 1.22016289625382e-05
"90" 0.5 79999.9999999999 1e+05 0.02 0.85 5000 0.4 0.200000000000001 0.405465108108166 0 3.84938876685226e-06
"91" 0.5 4000 1e+05 0.02 0.91 5000 0.02 0.96 3.89182029811063 220.999770268707 0.000334065983157328
"92" 0.5 7282.25681210432 1e+05 0.02 0.91 5000 0.0364112840605216 0.927177431878957 3.27578583209134 86.7223680039436 0.000105590641856446
"93" 0.5 13257.8160693599 1e+05 0.02 0.91 5000 0.0662890803467997 0.867421839306401 2.64514169947986 66.251185373574 6.54640181707578e-05
"94" 0.5 24136.7053461806 1e+05 0.02 0.91 5000 0.120683526730903 0.758632946538194 1.98597323304952 57.0702613321279 4.28433057929611e-05
"95" 0.5 43942.4217322447 1e+05 0.02 0.91 5000 0.219712108661223 0.560575782677553 1.26734485064893 51.516386032455 2.49136849742593e-05
"96" 0.5 79999.9999999999 1e+05 0.02 0.91 5000 0.4 0.200000000000001 0.405465108108166 46.8594244872585 7.10746069898516e-06
"97" 0.5 4000 1e+05 0.02 0.97 5000 0.02 0.96 3.89182029811063 28.9830200739798 4.86912159094466e-05
"98" 0.5 7282.25681210432 1e+05 0.02 0.97 5000 0.0364112840605216 0.927177431878957 3.27578583209134 27.3931435768486 4.02997618771384e-05
"99" 0.5 13257.8160693599 1e+05 0.02 0.97 5000 0.0662890803467997 0.867421839306401 2.64514169947986 26.1271928563571 3.24288288392482e-05
"100" 0.5 24136.7053461806 1e+05 0.02 0.97 5000 0.120683526730903 0.758632946538194 1.98597323304952 25.0016726393647 2.4435808841039e-05
"101" 0.5 43942.4217322447 1e+05 0.02 0.97 5000 0.219712108661223 0.560575782677553 1.26734485064893 23.7822065970063 1.55722170969153e-05
"102" 0.5 79999.9999999999 1e+05 0.02 0.97 5000 0.4 0.200000000000001 0.405465108108166 22.0431075982402 4.74661495453166e-06
"103" 0.5 4000 1e+05 0.02 1 5000 0.02 0.96 3.89182029811063 13.5081127496724 3.3988724980949e-05
"104" 0.5 7282.25681210432 1e+05 0.02 1 5000 0.0364112840605216 0.927177431878957 3.27578583209134 12.2668986034294 2.92218540052236e-05
"105" 0.5 13257.8160693599 1e+05 0.02 1 5000 0.0662890803467997 0.867421839306401 2.64514169947986 10.7582558820294 2.4247150422374e-05
"106" 0.5 24136.7053461806 1e+05 0.02 1 5000 0.120683526730903 0.758632946538194 1.98597323304952 8.69250022987833 1.87400621466383e-05
"107" 0.5 43942.4217322447 1e+05 0.02 1 5000 0.219712108661223 0.560575782677553 1.26734485064893 5.23069649995963 1.22016289625382e-05
"108" 0.5 79999.9999999999 1e+05 0.02 1 5000 0.4 0.200000000000001 0.405465108108166 0 3.84938876685226e-06
